"台灣易思資訊科技股份有限公司",1a2x6bk2lv
"固緯電子實業股份有限公司",26b3kgw
"元隆電子股份有限公司",a5h9zsg
"星達科技股份有限公司",10us42w8
"兆揚資訊有限公司",10ucczrs
"慧演智能股份有限公司",1a2x6blfa5
"能元科技股份有限公司",7jwtqo8
"祥宇科技有限公司",61ollso
"松恒股份有限公司",1a2x6bi4pj
"恆勁科技股份有限公司",1a2x6bippr
"美商創源工業電腦股份有限公司台灣分公司",1a2x6bj001
"松恒股份有限公司",1a2x6bi4pj
"能元科技股份有限公司",7jwtqo8
"祥宇科技有限公司",61ollso
"元隆電子股份有限公司",a5h9zsg
"釩達科技股份有限公司",1a2x6bjrn5
"美商創源工業電腦股份有限公司台灣分公司",1a2x6bj001
"旭騰資訊有限公司",1a2x6bj3qp
"恆勁科技股份有限公司",1a2x6bippr
"鍾榮企業有限公司",1a2x6bj6z2
"京魁系統股份有限公司",1a2x6bjbgs
"哈電科技有限公司",1a2x6bjyni
"友崴應用材料股份有限公司",1a2x6bk71d
"創璟應用整合有限公司",1a2x6bk7rx
"叡寧資本股份有限公司",1a2x6blu6g
"謳帕斯半導體設備有限公司",1a2x6bl9qz
"德宜智能股份有限公司",1a2x6blgp5
"樂多科技股份有限公司",1a2x6bljs4
"新加坡商高山航運股份有限公司台灣分公司",1a2x6bm0s2
"詠豐順有限公司",1a2x6bm6mx
"唯覓文化傳媒有限公司",1a2x6bm6kw
"英屬開曼群島商聯德控股股份有限公司",1a2x6bm6nm
"紘鈦物聯股份有限公司",1a2x6bm6na
"台灣大哥大林口文化三特約中心_元鈦電訊有限公司",1a2x6bm6nd
"點居室股份有限公司",1a2x6big90
"日商明日網科技股份有限公司台灣分公司",1a2x6bknmc
"墨攻網路科技股份有限公司",b8p7jzk
"德霖科技有限公司",1a2x6bitdb
"天音實業有限公司",a69os08
"時代革新台灣股份有限公司",1a2x6blfe5
"美商定誼科技股份有限公司台灣分公司",winohvk
"慶舟企業股份有限公司",6gdsrm8
"奧暢雲服務股份有限公司",1a2x6bl7df
"數位峰科技股份有限公司",5si8g8w
"凱茂科技有限公司",wddk8cw
"華矽創新股份有限公司",1a2x6bl1ia
"愛發股份有限公司",e5o5yzs
"網飛訊科技股份有限公司",60ikxs0
"允勝風格事業有限公司",1a2x6blise
"立紘數位科技股份有限公司",d5uhjds
"台灣東芝電子零組件股份有限公司",5mb78js
"協裕國際科技股份有限公司",7reb9aw
"雲上互動科技有限公司",1a2x6bl105
"查斯特科技股份有限公司",1a2x6bivgl
"致富寶股份有限公司",1a2x6bjavk
"梅華精密工業股份有限公司",q8vh5vc
"玩點互動股份有限公司",1a2x6bia90
"瞬茂機械股份有限公司",we7j0s0
"新亞洲儀器股份有限公司",158xq0c0
"睿橋資訊股份有限公司",1a2x6bj3r6
"松川精密股份有限公司",fl13eew
"陞達實業股份有限公司",fu6nkr4
"飛速移動股份有限公司",1a2x6bjvwt
"和正豐光電股份有限公司",b6xu2i0
"好險網科技股份有限公司",1a2x6bk9s5
"晶元科技有限公司",15avpwds
"厚達電子股份有限公司",1a2x6bi0bb
"互聯通股份有限公司",wdjp5ag
"安研科技股份有限公司",10uiyywg
"巧勤股份有限公司",10qj4xy8
"龍大精密股份有限公司",1a2x6bkhnp
"癮房市整合行銷有限公司",1a2x6bl84h
"資正電子企業股份有限公司",5q92d14
"奧爾資訊多媒體股份有限公司",5v5vto0
"恒崴企業有限公司",ady9mrk
"臺北歆科科技有限公司",az1173s
"元發買賣有限公司",b810h6w
"唐虞企業股份有限公司",12wge4ag
"台灣迪恩士先端科技股份有限公司",crs3x6g
"明坤科技股份有限公司",d4j4fw8
"鉅奇數位科技股份有限公司",d4vl4o8
"世宏機械股份有限公司",glt9qcw
"大銀微系統股份有限公司_HIWIN MIKROSYSTEM",18r1oqbc
"金正禾數位有限公司",1a2x6bl4su
"祺峰科技股份有限公司",wg67xag
"廣穎電通股份有限公司",10tqbw2o
"Besi Singapore Pte. Ltd._新加坡商貝思半導體設備有限公司台灣分公司",10wpcmdk
"倉和股份有限公司",12yr6bbs
"亞太教育訓練網_智谷網絡股份有限公司",18m6ar2o
"元谷國際有限公司",1a2x6bitp3
"鳴周科技股份有限公司",1a2x6bizew
"邦拓鏈股份有限公司",1a2x6bkuuw
"紅石資訊有限公司",1a2x6bl8xj
"嘉興資訊顧問有限公司",1a2x6bl7tf
"久勁科技有限公司",1a2x6ble51
"銀月數位顧問股份有限公司",1a2x6bldvx
"奇心網路有限公司",1a2x6blx2e
"日博設計有限公司",1a2x6blvag
"陞泰電信有限公司",1a2x6blw8l
"八方通企業社",1a2x6blws9
"傑克商業自動化股份有限公司",1118c5uw
"廣泓欣電子股份有限公司",1a2x6bk1u9
"雅信科技股份有限公司",1a2x6bm6km
"核桃運算股份有限公司",1a2x6biwtm
"宗泰科技工程股份有限公司",1a2x6blbst
"集太科技有限公司",b64m6g0
"巨機實業股份有限公司",1a2x6bkms4
"鴻才科技股份有限公司",b9bmf20
"女媧資訊股份有限公司",1a2x6bkoyn
"鴻靜實業股份有限公司",1a2x6bkgas
"吉邵股份有限公司",1a2x6bkq2m
"薩摩亞商新傳鍶科技股份有限公司台灣分公司",1a2x6bjkoy
"展市華科技有限公司",1a2x6blbgu
"美商綠銅科技有限公司臺灣分公司",1a2x6bkgmi
"台灣思勵創意有限公司",1a2x6blyp6
"億創行銷工作室",1a2x6bldea
"豪祐科技股份有限公司",1a2x6blkm3
"德寶光學儀器股份有限公司",18p3ch1s
"智源電子股份有限公司",oiaei2o
"嘉榮科技股份有限公司",ckuuckg
"融程電訊股份有限公司",18j1qrxk
"方殷創意行銷有限公司",oe6zc7c
"美國融文國際營銷有限公司",1a2x6blz6t
"昭通科技股份有限公司",13y24pi8
"富鈞科技股份有限公司",d0eia6o
"沛科精密股份有限公司",cptygig
"鑫亞電通股份有限公司",7hihco0
"宇辰科技股份有限公司",1a2x6blsg0
"鼎弦工程有限公司",1a2x6blhwu
"展定電子有限公司",1a2x6bm1w8
"灝瀚數碼電子有限公司",1a2x6bidsy
"布魯克斯自動化股份有限公司",18n3g2y8
"元生工業股份有限公司",1a2x6bk5l1
"跨鏈科技股份有限公司",1a2x6blo5y
"凱碩科技股份有限公司",7n23suw
"鼎爍傳媒有限公司",1a2x6bm6l7
"揚明光學股份有限公司_YoungOptics Inc.",5votqa0
"元泰發實業有限公司",7eqb4lc
"竣豪電子股份有限公司",7ls9m80
"智原科技股份有限公司",12no6e8w
"聯經數位股份有限公司",112fvi8o
"惠國科技股份有限公司",159njq8o
"和淞科技股份有限公司",18ltjd9k
"台灣微告股份有限公司",1a2x6bil3l
"湛天創新科技股份有限公司",b8zvd48
"遵宇科技股份有限公司",cv72j7c
"暘碁資訊股份有限公司",d5t1ti0
"學創教育科技股份有限公司",1a2x6bjn1r
"大量科技股份有限公司",k6nu78g
"銓安智慧科技股份有限公司",1a2x6bjrxv
"為昇科科技股份有限公司",1a2x6bjuxf
"高宇能源科技股份有限公司",1a2x6bk5hx
"忠朋智能股份有限公司",1a2x6bka62
"銳盾貿易有限公司",1a2x6bkwpn
"波思貝有限公司",1a2x6bm6lv
"人人果實有限公司",1a2x6bm6c2
"匯智數位科技顧問有限公司",1a2x6bm6hz
"聯新電腦資訊有限公司",1a2x6bm6g2
"鼎城通訊商行",1a2x6bm6ix
"漫話科技股份有限公司",1a2x6bm6jj
"酷特科技股份有限公司",1a2x6blw2a
"昇陽國際半導體股份有限公司",12noo21s
"穩健科技股份有限公司",1a2x6bm6i0
"TC&C  ELECTRONIC  CO  LTD_燁元電子有限公司",158mz4v4
"琳得科先進科技股份有限公司",wceq2o0
"勝和科技有限公司",1a2x6bimds
"搶眼戶外廣告刊版輸出_搶眼影像科技股份有限公司",wg7dw3c
"奇博科技股份有限公司",1a2x6bj8vr
"新加坡商必創科技股份有限公司",1a2x6bkwkx
"台灣宇創精密科技股份有限公司",1a2x6bj94h
"菁英數位科技股份有限公司",609lfy0
"斯力歐科技有限公司",1a2x6bkt4f
"尼得科超眾科技股份有限公司",fmdzd7k
"威雲科技股份有限公司",1a2x6bkzdf
"奇點網路行銷",1a2x6bkz6j
"鼎順數位科技有限公司",1a2x6bkq9l
"台灣淘米科技股份有限公司",b8wc3bs
"台灣貝利科技股份有限公司",cvwpbvs
"昊聲訊息技術有限公司",1a2x6bkalx
"優必闊科技股份有限公司",1a2x6bjncd
"思騰資訊有限公司",1a2x6bl23b
"艾海國際有限公司",1a2x6blahc
"日電貿股份有限公司",12n50mgg
"富鼎先進電子股份有限公司",7lpzpx4
"倢鋒科技股份有限公司",cwcmkgg
"數位無限軟體股份有限公司",10tg11rk
"禾瑞亞科技股份有限公司",10wq4f5c
"展大國際股份有限公司",156qlfq0
"威盛電子股份有限公司",13womfgw
"地標網通股份有限公司",1a2x6blojg
"學習王科技股份有限公司",1a2x6biida
"冠昊股份有限公司",1a2x6biyn7
"倢鋒科技股份有限公司",cwcmkgg
"購金車有限公司",1a2x6blbdz
"?安精密有限公司",1a2x6blpvs
"隆成電腦有限公司",10qd5tco
"致樂創意股份有限公司",1a2x6bl9n8
"嘉值科技股份有限公司",cl2g7d4
"昊昇精密有限公司",1a2x6biplb
"動聯國際股份有限公司",1a2x6bitqj
"喜洋洋數位科技股份有限公司",1a2x6birb1
"神奇科技股份有限公司",10q9lyq8
"京實科技有限公司",1a2x6bkzyo
"誠美材料科技股份有限公司",crlmg34
"鑫亨有限公司",1a2x6blmzs
"鼎京科技有限公司",1a2x6bix5a
"?帝數位資訊有限公司",1a2x6bjdf2
"右棋科技有限公司",1a2x6blmew
"光原科技股份有限公司",cw8rj20
"隨身遊戲股份有限公司",wfmrkbs
"達瓦科技有限公司",1a2x6bkz2z
"緯利股份有限公司",5zztgnc
"台灣禮光股份有限公司",5h03l40
"芽果科技系統工程有限公司",1a2x6biz6d
"同樂電子股份有限公司",9knu6n4
"兆勗企業股份有限公司",12svxszc
"聖捷科技股份有限公司",1582qm0g
"冠釩科技股份有限公司",1a2x6bllr7
"新加坡商網達先進科技有限公司台灣分公司",wi54l4g
"LG_臺灣樂金化學股份有限公司",ck0kzqw
"鐵雲科技股份有限公司",1a2x6bj606
"台灣領意系統有限公司",1a2x6bkha4
"美台華德科技股份有限公司",7eyemf4
"上霖科技有限公司",12zayw3s
"勝朋有限公司",1a2x6bi9f3
"大興電線電纜股份有限公司",8iuxnxk
"松上電子股份有限公司",ajg9yd4
"慧邦科技股份有限公司",cr7ury8
"萬億股份有限公司",aqizxyo
"達裕科技股份有限公司",d40mftc
"揚博科技股份有限公司",e7iuqgo
"吉恩立數位科技股份有限公司",10yutkds
"衛武資訊股份有限公司",1a2x6bksdm
"台灣松田產業股份有限公司",1a2x6bl39r
"成貞企業有限公司",1a2x6bm6ek
"實礦科技有限公司",1a2x6bm6hp
"美商線上電腦圖書館中心股份有限公司台北辦事處",1a2x6bm6gs
"耘德智能製造有限公司",1a2x6blmzg
"PHOENIX TECHNOLOGIES INC_美商費尼克斯有限公司台灣分公司",1a2x6blnkf
"正程工程行",1a2x6blqhx
"耀星流行有限公司",1a2x6blosv
"京政電子有限公司",1a2x6biypo
"創典科技有限公司",1a2x6blwll
"愷碩數位有限公司",1a2x6bk6j7
"北宸科技股份有限公司",110q5a8o
"香港商磐旭智能國際股份有限公司台灣分公司",1a2x6bk3m2
"禾米數位股份有限公司",1a2x6bj354
"Rytass Corp._八拍子股份有限公司",1a2x6bkax4
"電獺股份有限公司",1a2x6bjxn4
"力億企業股份有限公司",9gqmnp4
"森思股份有限公司",1a2x6bjb8q
"浩興電子有限公司",1a2x6bhzjf
"美商矽磊科技股份有限公司台灣分公司",1a2x6bl5jk
"勤學科技股份有限公司",1a2x6bip2d
"盛基科技股份有限公司",1a2x6bkdmf
"網際智慧股份有限公司",153kerxc
"英赫科台灣股份有限公司",1a2x6bm3af
"立捷速能股份有限公司",110ri69s
"妙德技研股份有限公司",1a2x6bighd
"立肯科技股份有限公司",12n8v6vs
"品一品有限公司",1a2x6bjo7f
"兆翔光電股份有限公司",de3c47c
"祥誠科技股份有限公司",1a2x6bj04a
"康舒科技股份有限公司",5o3jjw8
"北聯電器股份有限公司",9kdpu4o
"台灣嘉碩科技股份有限公司",7gzr17c
"亦勵光電科技有限公司",7sh231c
"大讚資訊系統有限公司",7gp1sdk
"江軍事業群_江軍企業股份有限公司",asypz08
"一起資訊有限公司",b8q0nts
"奇寶網路有限公司",cxa4kco
"森崴能源股份有限公司",d5vpyx4
"信尚科技有限公司",cufsfhs
"騏璣資訊科技股份有限公司",d80iiu8
"憶聲電子股份有限公司",knh46a0
"益創智慧股份有限公司",1a2x6bkao2
"格瑞康實業有限公司",10suh9iw
"錡譽股份有限公司",1a2x6bi5m9
"群悅科技股份有限公司",1a2x6bjgth
"優品工業有限公司",1a2x6bjf6h
"采洲科技有限公司",1a2x6bkjok
"旌泓股份有限公司",1a2x6bl0e5
"睿熙國際有限公司",1a2x6bl3yw
"鎵恩科技有限公司",1a2x6bm6fs
"麗智雲端股份有限公司",1a2x6bm697
"希緹娛樂股份有限公司",1a2x6bloyd
"智遊旅程股份有限公司",1a2x6blts4
"啄木鳥科技有限公司",1a2x6bm13s
"智勝資訊顧問有限公司",112iwu74
"寶盛數位科技股份有限公司",12niw8kg
"真美晶能源股份有限公司",d6xrtqg
"超豐電子股份有限公司",2cs3tbk
"昕暘科技有限公司",12p2i8bs
"大陸商展訊通信(上海)有限公司台灣辦事處",1a2x6bi7cw
"美商勞倫斯科技股份有限公司台灣分公司",1a2x6bk56w
"芯際有限公司",1a2x6blwhl
"兔子創意股份有限公司",1a2x6bkypd
"乙宏興業股份有限公司",z235hk8
"美商泰瑞達有限公司台灣分公司",5nnkk1s
"葳騰科技股份有限公司",ohr8zjk
"亞德資訊有限公司",1a2x6bkhl3
"奇異科技資訊有限公司",1a2x6bm02k
"昕鈺實業股份有限公司",alxvgf4
"聯勝國際科技股份有限公司",b7hzbao
"擎雲數位科技有限公司",1a2x6bjp9a
"商諾資訊顧問股份有限公司",7smyro8
"艾美特電器(深圳)有限公司",3idxtg8
"萬泰科技股份有限公司",25avbjc
"VEECO_台灣威科儀器股份有限公司",5uf0id4
"大數據股份有限公司",1a2x6bjjhc
"國際半導體產業協會_美商國際半導體產業有限公司台灣分公司",18jqq0m8
"VEECO_台灣威科儀器股份有限公司",5uf0id4
"商諾資訊顧問股份有限公司",7smyro8
"悠活水產股份有限公司",1a2x6biz4v
"翰樺電信有限公司",1a2x6bjfe3
"上人科技有限公司",1a2x6bkya6
"納克斯空間資訊股份有限公司",1a2x6blpsu
"美克爾科技股份有限公司",1a2x6blcm3
"畢竟科技股份有限公司",1a2x6blfmy
"米斯有限公司",1a2x6blc29
"車主充電站股份有限公司",1a2x6bljbj
"天理科技有限公司",1a2x6bm6dp
"建祿科技股份有限公司",1a2x6bm6cg
"鵬昌工程有限公司",1a2x6bm6cv
"穎嘉投資管理顧問有限公司",1a2x6bm6g1
"上溢軟體設計有限公司",1a2x6bld6m
"環球認證有限公司",cnwwbqo
"民豐事業股份有限公司",da6hblc
"台灣大哥大華夏二特約門市_奇展通訊行",1a2x6bksiw
"易芯科技股份有限公司",odn0zv4
"金鍏電子股份有限公司",1567tt6w
"元睿資訊有限公司",10xvn28w
"佳楠精密電子股份有限公司",vz8796o
"詠屹科技股份有限公司",61kltvc
"以勤科技股份有限公司",61upgx4
"上洛國際股份有限公司",1a2x6blo41
"金德興模具股份有限公司",12v1g9rs
"明谷通信企業股份有限公司",1654kqk8
"貝塔數位有限公司",1a2x6bjr27
"台灣艾特維股份有限公司",1a2x6bivxw
"新馳科技股份有限公司",1a2x6bkjds
"滿食空股份有限公司",1a2x6bkzrj
"傑興資訊有限公司",b4uro8g
"矽拓科技股份有限公司",158vgzo0
"DIGIEVER_永恒數位通訊科技股份有限公司",1a2x6bj59v
"辛佳企業有限公司",al2qqqo
"營滿有限公司",1a2x6blcno
"艾睿電子股份有限公司",6gfhlfk
"科萊博瑞科技有限公司",1a2x6bjlcp
"陽碩科技股份有限公司",7o9ccco
"李洲科技股份有限公司",2342eog
"整技科技股份有限公司",we5rxy0
"得意節能科技股份有限公司",13p9gql4
"基能科技股份有限公司",b4v3wtk
"玩轉教育有限公司",1a2x6bl7us
"恒遠科技有限公司",1a2x6blnnf
"美麗微半導體股份有限公司",18l54w9k
"建豪光電股份有限公司",bkaafhc
"美商奧帝思科技股份有限公司台灣分公司",1a2x6bm4hu
"眾至資訊股份有限公司",7soj14w
"創力美股份有限公司",1a2x6bljr8
"瑞士商夏弗納電磁相容有限公司台灣分公司",ciebzgo
"保銳科技股份有限公司",awdkxuw
"志弘資訊股份有限公司",cwwh9mg
"微創國際電子有限公司",d8wosdc
"某企業股份有限公司",jnelu8
"冠陵科技有限公司",okkhta0
"錯誤美學有限公司",1a2x6bm6af
"捷凱電子股份有限公司",wdtkn4o
"安卓資訊股份有限公司",ommxek0
"巧豐資訊股份有限公司",13s7f2y0
"晶晟精密科技股份有限公司",1a2x6biw8n
"志弘資訊股份有限公司",cwwh9mg
"瑞士商夏弗納電磁相容有限公司台灣分公司",ciebzgo
"微創國際電子有限公司",d8wosdc
"全民槍戰_迪諾遊戲有限公司",1a2x6bj89c
"冠陵科技有限公司",okkhta0
"錯誤美學有限公司",1a2x6bm6af
"安卓資訊股份有限公司",ommxek0
"韓商_億看有限公司",1a2x6bjtpu
"北翔有限公司",1a2x6bk6na
"觀茵多媒體企業社",1a2x6bm680
"旭佳科技有限公司",1a2x6bm69k
"綠盈股份有限公司",1a2x6bm6c3
"信曜科技股份有限公司",1a2x6bla5b
"立敏電子股份有限公司",1a2x6blh9k
"自遊智載股份有限公司",1a2x6blvdx
"盛景電子股份有限公司",1a2x6bm68w
"賽發科技有限公司",10vgeb48
"豐揚科技股份有限公司",cjuty1k
"永久傳電信有限公司",1a2x6bkk72
"台灣競遊智慧網路股份有限公司",1a2x6bldk6
"瀚碩科技股份有限公司",d6bir00
"奔馳控股股份有限公司",1a2x6bkg5d
"振軟資安科技股份有限公司",cjbep7c
"微覺視股份有限公司",1a2x6bl6vu
"市訊資訊有限公司",1a2x6bi322
"仁通資訊股份有限公司",azetuqg
"錸寶科技股份有限公司(錸德集團)",wiclbi8
"?倫科技有限公司",1a2x6bjdtn
"麗思頓有限公司",112w6rg0
"訊通實業股份有限公司",5p43aeo
"高創科技股份有限公司",5tlabcw
"捷寶實業有限公司",adwigug
"系微股份有限公司",7mzp948
"金烜科技有限公司",7frmpf4
"皓展資訊股份有限公司",b8e4baw
"茂森科技股份有限公司",awmjja8
"極智光電股份有限公司",b7kxysw
"今凱科技股份有限公司",clrz55k
"研宇科技工程有限公司",d848m00
"火星貓科技股份有限公司",1a2x6bk08i
"岳豐科技股份有限公司",l3antg8
"函數科技股份有限公司",wfw40zc
"inline_樂排股份有限公司",1a2x6bkann
"錄安科技有限公司",1a2x6bk9bo
"維亞娛樂股份有限公司",1a2x6bkhl0
"輔晟科技有限公司",13mwx7gg
"東光電腦股份有限公司",1a2x6bi9wz
"CIMFORCE_上博科技股份有限公司",1a2x6bihay
"品游科技有限公司",1a2x6bjst0
"雄厚科技有限公司",1a2x6bkn5n
"揚曦資訊股份有限公司",1a2x6bkjj1
"翰揚生理感測股份有限公司",1a2x6bl7kk
"台成商事股份有限公司",1a2x6bl83d
"九泰光電照明科技有限公司",1a2x6bl6re
"鼎祐網路科技有限公司",1a2x6blkp2
"安存數據有限公司",1a2x6ble1h
"飛立德科技股份有限公司",1a2x6blw4t
"友景科技股份有限公司",1a2x6bm66w
"正盛國際實業股份有限公司",10tgl2g0
"榮塑精機有限公司",1a2x6bm693
"友景科技股份有限公司",1a2x6bm66w
"虹鈞系統自動化股份有限公司",1a2x6bm67w
"環亞數字有限公司",1a2x6bm68a
"成懋科技有限公司",7smghhs
"正盛國際實業股份有限公司",10tgl2g0
"輝創電子股份有限公司",9mfvobu
"竣泰有限公司",1a2x6bl26q
"會通資訊股份有限公司",7i9kns0
"聚達系統股份有限公司",1a2x6bjgky
"蒼祐科技股份有限公司",csyyei0
"九彥科技股份有限公司",d0fcw1c
"正通科技股份有限公司",1a2x6blh8o
"光優電子有限公司",7scjntc
"悅宇科技有限公司",ddx43e0
"璞石科技股份有限公司",13kpbic0
"馬來西亞商極限電腦科技有限公司台灣分公司",1a2x6blo5u
"今慶科技股份有限公司",10tkshu0
"正頎電子股份有限公司",b9eab7s
"野田科技股份有限公司",1a2x6bkyhn
"豪芯科技股份有限公司",1a2x6bknsd
"天方能源科技股份有限公司",13n80qy0
"兆微科技有限公司",csyj6ns
"玩美集品網路科技股份有限公司",10vxwd7s
"百邇來設計行銷有限公司",b5ng0l4
"維特實業股份有限公司",1a2x6bl1b1
"美賣科技股份有限公司",1a2x6bjls7
"騰傑企業有限公司",12yeeqko
"協勤資訊有限公司",akz3zy8
"台灣思百吉股份有限公司",azr8jr4
"漢朝實業有限公司",150x442g
"良匠科技有限公司",1a2x6bkygc
"佳貝數位營銷有限公司",1a2x6bkvt2
"利?科技股份有限公司",5yics2g
"冠瑋科技實業股份有限公司",1a2x6bkxsz
"米拉多科技有限公司",1a2x6bj3v3
"尚鋒企業股份有限公司",5k5gzo0
"允浩有限公司",13xyxoaw
"虹嘉科技股份有限公司",157881eg
"恩麒資訊有限公司",1117msa0
"晟譁科技股份有限公司",1a2x6bm5ci
"捷普集團_綠點高新科技股份有限公司",5vp8u9c
"宇萌數位科技股份有限公司",de3ybl4
"鑫笙企業有限公司",7gnbadk
"遠傳電信經銷商_時代廣場有限公司",b5kn3vc
"廣盈科技股份有限公司",clsvdnc
"旭朗科技有限公司",1a2x6bjim5
"大智電子科技有限公司",cnrd9ug
"瑞紅科技股份有限公司",d8b9syw
"捷誠國際貿易企業社",1a2x6bldlm
"雲簽科技股份有限公司",oljbo60
"馬基數位印刷有限公司",wfi2nb4
"瑋鋒科技股份有限公司",1579anu0
"禾旺能源有限公司",1a2x6bi9om
"薩摩亞商超強科技有限公司台灣分公司",1a2x6bjtyo
"捷能電子股份有限公司",1a2x6bkkhz
"康沛科技股份有限公司",1a2x6bl35g
"倞安科技股份有限公司",1a2x6bld9c
"現觀科技股份有限公司",1a2x6blnmq
"中喜有限公司",1a2x6bls1h
"博聿股份有限公司",1a2x6bm663
"倞安科技股份有限公司",1a2x6bld9c
"現觀科技股份有限公司",1a2x6blnmq
"中喜有限公司",1a2x6bls1h
"鑫實洋工業有限公司",cwllkjk
"英丰寶資訊股份有限公司",155q2nxk
"昭松科技股份有限公司",13vv8nzs
"太禾科技有限公司",1a2x6bls9x
"群加國際股份有限公司",1a2x6bjfvr
"萊特數位科技有限公司",1a2x6bl5ov
"凱恩傑科技股份有限公司",7oq6kfc
"那一間科技有限公司",1a2x6blwa6
"亞捷數位科技股份有限公司",10zoqusg
"揚帆科技有限公司",1a2x6blr6b
"宏晟科技股份有限公司",wgzugco
"昱樺科技股份有限公司",d91q128
"有線科技有限公司",1a2x6bjahl
"家興防盜科技有限公司",1a2x6bkg9u
"美商亞敦電子有限公司台灣分公司",1a2x6biahb
"Googol  Company_鴻海綜合能源股份有限公司",bk9shnc
"汎銓科技股份有限公司",csn7ka0
"英屬蓋曼群島商科嘉國際股份有限公司台灣分公司",dbesq08
"芮丞通信有限公司",d7nlf0g
"奧理科技股份有限公司",1a2x6bjxcm
"聯發科技股份有限公司",12noppgo
"艾思網絡股份有限公司",10tp2avc
"錸鑫新能源科技股份有限公司",1a2x6blwhr
"藝騰文創事業有限公司",1a2x6blwgr
"金富澤實業股份有限公司",1a2x6bm5og
"寬德股份有限公司",1a2x6bln9x
"威技資訊股份有限公司",12td6734
"英屬開曼群島商天暉精密股份有限公司台灣分公司",1a2x6bkzau
"炫采有限公司",1a2x6blsg9
"元細胞遊戲有限公司",1a2x6bj27b
"捷東股份有限公司",18j17ajk
"鑫盛通信企業社",4kl50pk
"騰錂鐳射股份有限公司",1a2x6bknbu
"科智企業股份有限公司",1a2x6bj1aq
"益芯科技股份有限公司",5xwcljs
"中國巴斯特股份有限公司",1a2x6bjzs6
"訊動科技股份有限公司",ckj2v74
"創利空間股份有限公司",1a2x6bkspp
"恩奕互動娛樂有限公司",1a2x6bkvj2
"亦聲電子有限公司",1a2x6bi0u0
"捷拓科技股份有限公司",ay39nug
"富元精密科技股份有限公司",cvdl5yo
"緯德科技股份有限公司 (TechLink Corporation)",cnz7pa8
"環鴻科技股份有限公司",dbgbm34
"沅皜光電科技股份有限公司",ohjvkrc
"弘岳科技股份有限公司",13qrsbtk
"世平興業股份有限公司",2c7idyo
"大日科技股份有限公司",18ny5q6w
"宏燁資訊股份有限公司",7f39r7c
"宇砷科技有限公司",5uwu21k
"華鎂鑫科技股份有限公司",7fz53zk
"英屬開曼群島商世邁科技股份有限公司台灣分公司",1a2x6bi79j
"集邦聯合製造股份有限公司",1a2x6bixeu
"英達系統開發有限公司",1a2x6bjtp2
"君原股份有限公司",1a2x6bln3f
"德瑞電氣工程有限公司",1a2x6bjf1y
"支點雲端科技股份有限公司",1a2x6bj4nf
"WoWi Approval Services, Inc_康來士科技顧問股份有限公司",b6hwoiw
"鐵支路有限公司",1a2x6bkqx9
"碩昱科技股份有限公司",1125jriw
"歐銥光電股份有限公司",wf0ws94
"美商旭升半導體股份有限公司",1a2x6bm0q6
"亞仕達科技股份有限公司",d7tvh4o
"鴻柏科技股份有限公司",12xntfm0
"菲爾資訊科技有限公司",1a2x6bizpz
"富驊企業股份有限公司",gnule4w
"塞席爾商首采科技股份有限公司台灣分公司",1a2x6bi7xg
"志皇國際股份有限公司",13q90tx4
"品嘉企業社",1a2x6blyc7
"微樂客有限公司",1a2x6blxpu
"乘翔科技股份有限公司",1a2x6bkmgv
"高晨資訊有限公司",1a2x6bkpyc
"德勝光電股份有限公司",1a2x6birdr
"慶奇科技股份有限公司",1a2x6bjq65
"台灣豐寶科技股份有限公司",112av9tc
"昱詮資訊科技有限公司",1a2x6bi7ok
"中信安科技有限公司",1a2x6bktgf
"誼特科技股份有限公司",d9231fc
"斐亞米有限公司",1a2x6blnvj
"安創科技股份有限公司",cqrrbm0
"大連電子工業股份有限公司",28rpn28
"厚田科技有限公司",dashi40
"大台南網路購物服務人員職業工會",1a2x6bjngw
"光陽科技股份有限公司",5sy5jf4
"強茂股份有限公司",a68kjpc
"Vinpower Digital INC_偉得科技有限公司",5zziko8
"欣昀企業有限公司",7rbm3m8
"傳揚國際有限公司",b7nglx4
"聯合再生能源股份有限公司",cr5tkx4
"砌禾數位動畫股份有限公司",dct61bs
"美律實業股份有限公司",o272zgo
"美商倍佳國際股份有限公司台灣分公司",ocjxbxs
"昀佳股份有限公司",10t3k2yg
"上通電子股份有限公司",12w98pbc
"立象科技股份有限公司",18lxthvk
"中興保全科技股份有限公司",1a2x6bi0fy
"元景資訊股份有限公司",1a2x6bi8ut
"翼詠科技股份有限公司",1a2x6biu5g
"美商普威能源股份有限公司",1a2x6bj9bk
"香港商榮惠電子有限公司台灣分公司",1a2x6bjk9u
"資誠創新諮詢有限公司",1a2x6bkwrx
"哇哇科技股份有限公司",1a2x6bl33v
"五佶有限公司",1a2x6blfc1
"順成電子股份有限公司",1a2x6bkqxk
"手機通訊廣場_尚品通訊行",1a2x6bm61p
"云海岸科技有限公司",1a2x6bm613
"日商麥貝斯股份有限公司台灣分公司",1a2x6bm5zz
"曠世國際有限公司",1a2x6bjl2i
"好馬科技開發有限公司",159ma0eo
"米格點子有限公司",1a2x6blvle
"鴻普光電股份有限公司",1a2x6bij4h
"昇詮科技股份有限公司",7i7ca9c
"美商路銤德股份有限公司台灣分公司",1a2x6bkyyy
"首銤有限公司",1a2x6bkdkq
"數位果子科技有限公司",1a2x6bjmpf
